,Symbol,MarketCapitalization,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage
XOM,XOM,513946550000,13.84,5.2,60.41,3.76,0.0333,8.36,84.41,0.099,0.134,0.0736,0.147,345134989000,133715000000,8.36,0.104,0.12,121.57,13.84,12.64,1.489,1.89,1.538,7.08,0.893,122.75,94.12,114.15,109.51
CVX,CVX,258474164000,14.1,4.237,86.97,6.28,0.0455,10.1,105.49,0.0959,0.119,0.0615,0.126,195187999000,98886000000,10.1,-0.241,0.051,178.49,14.1,11.74,1.324,1.633,1.399,6.33,1.09,166.4,136.73,155.6,153.26
NEE,NEE,159412945000,25.26,3.61,23.91,1.965,0.0266,3.07,12.63,0.244,0.281,0.028,0.0908,25849999000,10139000000,3.07,-0.428,-0.174,80.97,25.26,22.73,6.17,3.244,9.3,16.29,0.538,80.56,46.04,74.18,64.47
BP,BP,91056382000,12.81,13.74,4.04,0.298,0.0583,2.58,17.79,0.0369,0.0604,0.0407,0.0952,199760003000,70171000000,2.58,-0.706,-0.027,42.85,12.81,7.42,0.456,1.348,0.599,3.44,0.521,39.93,32.51,35.49,36.3
SHEL,SHEL,220749627000,12.53,2.778,29.32,1.363,0.0389,5.64,92.87,0.0609,0.134,0.0528,0.0991,302025015000,97308000000,5.64,0.196,-0.002,84.72,12.53,8.03,0.731,1.191,0.84,3.775,0.546,74.46,58.32,71.5,67.92
JPM,JPM,570170016000,11.18,3.956,111.3,4.4,0.023,17.93,55.44,0.335,0.502,0.0135,0.166,161334002000,122306000000,17.93,0.288,0.317,217.56,11.18,11.86,3.534,1.8,4.909,-,1.112,217.56,132.85,203.27,181.97
GS,GS,149376565000,15.17,3.829,319.98,11,0.0255,31.18,146.0,0.23,0.331,0.007,0.0949,48895001000,37530000000,31.18,1.793,0.211,514.96,15.17,13.79,3.055,1.392,1.89,-,1.364,517.26,283.27,469.38,404.36
BAC,BAC,289432338000,13.09,1.834,34.39,0.96,0.0282,2.85,11.69,0.263,0.317,0.0077,0.085,93156000000,92407000000,2.85,-0.057,-0.008,41.97,13.09,11.19,3.107,1.072,6.55,-,1.356,44.44,24.44,40.29,35.38
MS,MS,149021082000,15.15,3.241,56.8,3.475,0.0398,6.08,34.93,0.186,0.336,0.0089,0.104,56116998000,46437000000,6.08,0.468,0.124,105.41,15.15,14.27,2.655,1.636,3.983,-,1.367,108.14,67.43,99.46,90.15
WFC,WFC,177983144000,10.72,20.92,46.97,1.4,0.0306,4.88,21.92,0.24,0.317,0.0098,0.104,78234001000,72247000000,4.88,0.064,0.034,64.99,10.72,10.46,2.275,1.114,4.666,-,1.168,62.55,37.57,58.41,53.23
